delegacion,ano,detecciones,fecha,fn_ano
     Baja California Sur,2003,130748,2003-01-01,2003.0
     Campeche,2003,209813,2003-01-01,2003.0
     Coahuila ,2003,1108326,2003-01-01,2003.0
     Colima,2003,163802,2003-01-01,2003.0
     Chiapas,2003,366622,2003-01-01,2003.0
     Chihuahua,2003,1075516,2003-01-01,2003.0
     D.F. Norte,2003,1501682,2003-01-01,2003.0
     D.F. Sur,2003,1648647,2003-01-01,2003.0
     Durango,2003,462327,2003-01-01,2003.0
     Guanajuato,2003,1077160,2003-01-01,2003.0
     Guerrero,2003,418141,2003-01-01,2003.0
     Hidalgo,2003,507397,2003-01-01,2003.0
     Jalisco,2003,1581599,2003-01-01,2003.0
     México Oriente,2003,1533009,2003-01-01,2003.0
     México Poniente,2003,1265499,2003-01-01,2003.0
     Michoacán,2003,699502,2003-01-01,2003.0
     Morelos,2003,353426,2003-01-01,2003.0
     Nayarit,2003,165234,2003-01-01,2003.0
     Nuevo León,2003,2082734,2003-01-01,2003.0
     Oaxaca,2003,254208,2003-01-01,2003.0
     Puebla,2003,719091,2003-01-01,2003.0
     Querétaro,2003,642584,2003-01-01,2003.0
     Quintana Roo,2003,317063,2003-01-01,2003.0
     San Luis Potosí,2003,517138,2003-01-01,2003.0
     Sinaloa,2003,782359,2003-01-01,2003.0
     Sonora,2003,739604,2003-01-01,2003.0
     Tabasco,2003,263480,2003-01-01,2003.0
     Tamaulipas,2003,901596,2003-01-01,2003.0
     Tlaxcala,2003,184951,2003-01-01,2003.0
     Veracruz Norte,2003,790192,2003-01-01,2003.0
     Veracruz Sur,2003,738148,2003-01-01,2003.0
     Yucatán,2003,513179,2003-01-01,2003.0
     Zacatecas,2003,218496,2003-01-01,2003.0
     Aguascalientes,2004*,689145,2004-01-01,
     Baja California,2004*,1580807,2004-01-01,
     Baja California Sur,2004*,530911,2004-01-01,
     Campeche,2004*,447213,2004-01-01,
     Coahuila ,2004*,2379094,2004-01-01,
     Colima,2004*,381971,2004-01-01,
     Chiapas,2004*,638815,2004-01-01,
     Chihuahua,2004*,2309552,2004-01-01,
     D.F. Norte,2004*,3016811,2004-01-01,
     D.F. Sur,2004*,2389796,2004-01-01,
     Durango,2004*,880722,2004-01-01,
     Guanajuato,2004*,2233218,2004-01-01,
     Guerrero,2004*,714065,2004-01-01,
     Hidalgo,2004*,797722,2004-01-01,
     Jalisco,2004*,3699948,2004-01-01,
     México Oriente,2004*,3532736,2004-01-01,
     México Poniente,2004*,1836977,2004-01-01,
     Michoacán,2004*,1376096,2004-01-01,
     Morelos,2004*,860887,2004-01-01,
     Nayarit,2004*,444569,2004-01-01,
     Nuevo León,2004*,2762862,2004-01-01,
     Oaxaca,2004*,644796,2004-01-01,
     Puebla,2004*,2157365,2004-01-01,
     Querétaro,2004*,1010802,2004-01-01,
     Quintana Roo,2004*,694823,2004-01-01,
     San Luis Potosí,2004*,1250237,2004-01-01,
     Sinaloa,2004*,2235481,2004-01-01,
     Sonora,2004*,1244577,2004-01-01,
     Tabasco,2004*,393697,2004-01-01,
     Tamaulipas,2004*,1752885,2004-01-01,
     Tlaxcala,2004*,407260,2004-01-01,
     Veracruz Norte,2004*,1970706,2004-01-01,
     Veracruz Sur,2004*,1602152,2004-01-01,
     Yucatán,2004*,1211720,2004-01-01,
     Zacatecas,2004*,588391,2004-01-01,
     Aguascalientes,2005*,465132,2005-01-01,
     Baja California,2005*,1067383,2005-01-01,
     Baja California Sur,2005*,282693,2005-01-01,
     Campeche,2005*,271820,2005-01-01,
     Coahuila ,2005*,1595037,2005-01-01,
     Colima,2005*,270634,2005-01-01,
     Chiapas,2005*,398994,2005-01-01,
     Chihuahua,2005*,1449548,2005-01-01,
     D.F. Norte,2005*,1774683,2005-01-01,
     D.F. Sur,2005*,1863513,2005-01-01,
     Durango,2005*,588530,2005-01-01,
     Guanajuato,2005*,1549394,2005-01-01,
     Guerrero,2005*,661537,2005-01-01,
     Hidalgo,2005*,447026,2005-01-01,
     Jalisco,2005*,2591559,2005-01-01,
     México Oriente,2005*,2673986,2005-01-01,
     México Poniente,2005*,1160683,2005-01-01,
     Michoacán,2005*,889589,2005-01-01,
     Morelos,2005*,509009,2005-01-01,
     Nayarit,2005*,339009,2005-01-01,
     Nuevo León,2005*,2125124,2005-01-01,
     Oaxaca,2005*,371343,2005-01-01,
     Puebla,2005*,1137172,2005-01-01,
     Querétaro,2005*,596188,2005-01-01,
     Quintana Roo,2005*,422284,2005-01-01,
     San Luis Potosí,2005*,789338,2005-01-01,
     Sinaloa,2005*,1200253,2005-01-01,
     Sonora,2005*,895737,2005-01-01,
     Tabasco,2005*,347952,2005-01-01,
     Tamaulipas,2005*,1176465,2005-01-01,
     Tlaxcala,2005*,248268,2005-01-01,
     Veracruz Norte,2005*,1127403,2005-01-01,
     Veracruz Sur,2005*,1007200,2005-01-01,
     Yucatán,2005*,782603,2005-01-01,
     Zacatecas,2005*,386596,2005-01-01,
     Aguascalientes,2006*,576854,2006-01-01,
     Baja California,2006*,1434001,2006-01-01,
     Baja California Sur,2006*,338374,2006-01-01,
     Campeche,2006*,335159,2006-01-01,
     Coahuila ,2006*,1975991,2006-01-01,
     Colima,2006*,319402,2006-01-01,
     Chiapas,2006*,604866,2006-01-01,
     Chihuahua,2006*,1739153,2006-01-01,
     D.F. Norte,2006*,1808863,2006-01-01,
     D.F. Sur,2006*,2138114,2006-01-01,
     Durango,2006*,731304,2006-01-01,
     Guanajuato,2006*,2028725,2006-01-01,
     Guerrero,2006*,785601,2006-01-01,
     Hidalgo,2006*,563596,2006-01-01,
     Jalisco,2006*,3104431,2006-01-01,
     México Oriente,2006*,3202004,2006-01-01,
     México Poniente,2006*,1422666,2006-01-01,
     Michoacán,2006*,1070866,2006-01-01,
     Morelos,2006*,603423,2006-01-01,
     Nayarit,2006*,432423,2006-01-01,
     Nuevo León,2006*,2772061,2006-01-01,
     Oaxaca,2006*,437687,2006-01-01,
     Puebla,2006*,1247066,2006-01-01,
     Querétaro,2006*,733812,2006-01-01,
     Quintana Roo,2006*,565782,2006-01-01,
     San Luis Potosí,2006*,887880,2006-01-01,
     Sinaloa,2006*,1397581,2006-01-01,
     Sonora,2006*,1210467,2006-01-01,
     Tabasco,2006*,419188,2006-01-01,
     Tamaulipas,2006*,1504928,2006-01-01,
     Tlaxcala,2006*,298812,2006-01-01,
     Veracruz Norte,2006*,1346350,2006-01-01,
     Veracruz Sur,2006*,1109589,2006-01-01,
     Yucatán,2006*,958202,2006-01-01,
     Zacatecas,2006*,386287,2006-01-01,
     Aguascalientes,2007 (1),419837,2007-01-01,
     Baja California,2007 (1),1253358,2007-01-01,
     Baja California Sur,2007 (1),294712,2007-01-01,
     Campeche,2007 (1),246528,2007-01-01,
     Coahuila ,2007 (1),1444815,2007-01-01,
     Colima,2007 (1),236302,2007-01-01,
     Chiapas,2007 (1),627692,2007-01-01,
     Chihuahua,2007 (1),1310022,2007-01-01,
     D.F. Norte,2007 (1),1696246,2007-01-01,
     D.F. Sur,2007 (1),1891982,2007-01-01,
     Durango,2007 (1),664546,2007-01-01,
     Guanajuato,2007 (1),1815008,2007-01-01,
     Guerrero,2007 (1),790561,2007-01-01,
     Hidalgo,2007 (1),457592,2007-01-01,
     Jalisco,2007 (1),2573374,2007-01-01,
     México Oriente,2007 (1),2702917,2007-01-01,
     México Poniente,2007 (1),1272272,2007-01-01,
     Michoacán,2007 (1),944828,2007-01-01,
     Morelos,2007 (1),483039,2007-01-01,
     Nayarit,2007 (1),451651,2007-01-01,
     Nuevo León,2007 (1),1671503,2007-01-01,
     Oaxaca,2007 (1),347770,2007-01-01,
     Puebla,2007 (1),911386,2007-01-01,
     Querétaro,2007 (1),630612,2007-01-01,
     Quintana Roo,2007 (1),509203,2007-01-01,
     San Luis Potosí,2007 (1),871452,2007-01-01,
     Sinaloa,2007 (1),858792,2007-01-01,
     Sonora,2007 (1),967724,2007-01-01,
     Tabasco,2007 (1),400924,2007-01-01,
     Tamaulipas,2007 (1),1062400,2007-01-01,
     Tlaxcala,2007 (1),275983,2007-01-01,
     Veracruz Norte,2007 (1),1507981,2007-01-01,
     Veracruz Sur,2007 (1),893809,2007-01-01,
     Yucatán,2007 (1),671114,2007-01-01,
     Zacatecas,2007 (1),247492,2007-01-01,
     Aguascalientes,2008 (1)(2),801428,2008-01-01,
     Baja California,2008 (1)(2),1604382,2008-01-01,
     Baja California Sur,2008 (1)(2),440173,2008-01-01,
     Campeche,2008 (1)(2),258945,2008-01-01,
     Coahuila ,2008 (1)(2),1946414,2008-01-01,
     Colima,2008 (1)(2),326702,2008-01-01,
     Chiapas,2008 (1)(2),859507,2008-01-01,
     Chihuahua,2008 (1)(2),1454752,2008-01-01,
     D.F. Norte,2008 (1)(2),3453793,2008-01-01,
     D.F. Sur,2008 (1)(2),2846264,2008-01-01,
     Durango,2008 (1)(2),741273,2008-01-01,
     Guanajuato,2008 (1)(2),1970235,2008-01-01,
     Guerrero,2008 (1)(2),855562,2008-01-01,
     Hidalgo,2008 (1)(2),507109,2008-01-01,
     Jalisco,2008 (1)(2),3553976,2008-01-01,
     México Oriente,2008 (1)(2),3121884,2008-01-01,
     México Poniente,2008 (1)(2),1381832,2008-01-01,
     Michoacán,2008 (1)(2),1240274,2008-01-01,
     Morelos,2008 (1)(2),570848,2008-01-01,
     Nayarit,2008 (1)(2),445621,2008-01-01,
     Nuevo León,2008 (1)(2),3216135,2008-01-01,
     Oaxaca,2008 (1)(2),496282,2008-01-01,
     Puebla,2008 (1)(2),1831850,2008-01-01,
     Querétaro,2008 (1)(2),954837,2008-01-01,
     Quintana Roo,2008 (1)(2),549108,2008-01-01,
     San Luis Potosí,2008 (1)(2),1239113,2008-01-01,
     Sinaloa,2008 (1)(2),1145410,2008-01-01,
     Sonora,2008 (1)(2),1226971,2008-01-01,
     Tabasco,2008 (1)(2),484566,2008-01-01,
     Tamaulipas,2008 (1)(2),1450762,2008-01-01,
     Tlaxcala,2008 (1)(2),321265,2008-01-01,
     Veracruz Norte,2008 (1)(2),1986164,2008-01-01,
     Veracruz Sur,2008 (1)(2),1118727,2008-01-01,
     Yucatán,2008 (1)(2),887119,2008-01-01,
     Zacatecas,2008 (1)(2),288601,2008-01-01,
     Aguascalientes,2009 (1)(2),897546,2009-01-01,
     Baja California,2009 (1)(2),1566564,2009-01-01,
     Baja California Sur,2009 (1)(2),493950,2009-01-01,
     Campeche,2009 (1)(2),300914,2009-01-01,
     Coahuila ,2009 (1)(2),2220790,2009-01-01,
     Colima,2009 (1)(2),405099,2009-01-01,
     Chiapas,2009 (1)(2),993243,2009-01-01,
     Chihuahua,2009 (1)(2),1590969,2009-01-01,
     D.F. Norte,2009 (1)(2),3225253,2009-01-01,
     D.F. Sur,2009 (1)(2),4891566,2009-01-01,
     Durango,2009 (1)(2),895751,2009-01-01,
     Guanajuato,2009 (1)(2),2494511,2009-01-01,
     Guerrero,2009 (1)(2),948873,2009-01-01,
     Hidalgo,2009 (1)(2),593890,2009-01-01,
